name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
1,"-69.50073586035,-22.332877270675","-69.5007459882,-22.3328581655","-69.5007460222,-22.3328677023","-69.5007257325,-22.3328963759","-69.5007256985,-22.332886839",180.18894396080958,0.003810601688637401
2,"-69.50073599652501,-22.332915418025","-69.5007461244,-22.3328963128","-69.5007461584,-22.3329058497","-69.5007258687,-22.3329345232","-69.5007258346,-22.3329249864",180.18922175784843,0.0038106041923542206
3,"-69.500736132725,-22.332953565425","-69.5007462606,-22.3329344602","-69.5007462946,-22.3329439971","-69.5007260049,-22.3329726706","-69.5007259708,-22.3329631338",180.18922167068172,0.003810603879926426
4,"-69.500736268875,-22.332991712825","-69.5007463967,-22.3329726076","-69.5007464308,-22.3329821445","-69.500726141,-22.333010818","-69.500726107,-22.3330012812",180.18922165142138,0.003810603567504735
5,"-69.500736405075,-22.333029860175","-69.5007465329,-22.333010755","-69.500746567,-22.3330202918","-69.5007262772,-22.3330489654","-69.5007262432,-22.3330394285",180.18922156723158,0.003810603254338902
6,"-69.500736541225,-22.333068007575","-69.5007466691,-22.3330489024","-69.5007467031,-22.3330584392","-69.5007264134,-22.3330871128","-69.5007263793,-22.3330775759",180.18922154795138,0.0038106029421519404
7,"-69.5007366774,-22.33310615495","-69.5007468053,-22.3330870498","-69.5007468393,-22.3330965866","-69.5007265495,-22.3331252601","-69.5007265155,-22.3331157233",180.18894464126765,0.0038106007942371838
8,"-69.500736813575,-22.333144302325","-69.5007469414,-22.3331251971","-69.5007469755,-22.333134734","-69.5007266857,-22.3331634075","-69.5007266517,-22.3331538707",180.18922137373806,0.0038106023163962787
9,"-69.50073694975,-22.333182449725","-69.5007470776,-22.3331633445","-69.5007471117,-22.3331728814","-69.5007268219,-22.3332015549","-69.5007267878,-22.3331920181",180.18949920548653,0.0038106048204297133
10,"-69.50073708594999,-22.333220597074998","-69.5007472138,-22.3332014919","-69.5007472479,-22.3332110287","-69.5007269581,-22.3332397023","-69.500726924,-22.3332301654",180.1894991536248,0.00381060450783272
11,"-69.5007372221,-22.333258744475","-69.50074735,-22.3332396393","-69.500747384,-22.3332491761","-69.5007270942,-22.3332778497","-69.5007270602,-22.3332683128",180.18894340874212,0.003810604195234774
12,"-69.5007373583,-22.333296891849997","-69.5007474862,-22.3332777867","-69.5007475202,-22.3332873235","-69.5007272304,-22.333315997","-69.5007271964,-22.3333064602",180.18894431223816,0.0038105992308483626
13,"-69.50073749445,-22.333335039225002","-69.5007476223,-22.333315934","-69.5007476564,-22.3333254709","-69.5007273666,-22.3333541444","-69.5007273325,-22.3333446076",180.18949899816465,0.0038106035700378564
14,"-69.50073763065001,-22.333373186625","-69.5007477585,-22.3333540814","-69.5007477926,-22.3333636183","-69.5007275028,-22.3333922918","-69.5007274687,-22.333382755",180.18949891095275,0.0038106032572733034
15,"-69.500737766825,-22.333411333999997","-69.5007478947,-22.3333922288","-69.5007479288,-22.3334017657","-69.5007276389,-22.3334304392","-69.5007276049,-22.3334209023",180.1892200561561,0.003810601109356821
16,"-69.500737903,-22.333449481375","-69.5007480309,-22.3334303762","-69.5007480649,-22.333439913","-69.5007277751,-22.3334685866","-69.5007277411,-22.3334590497",180.1889431502852,0.0038106026326394007
17,"-69.5007380392,-22.33348762875","-69.5007481671,-22.3334685236","-69.5007482011,-22.3334780604","-69.5007279113,-22.3335067339","-69.5007278773,-22.3334971971",180.1889440891925,0.00381059766808358
18,"-69.500738175375,-22.333525776125","-69.5007483033,-22.3335066709","-69.5007483373,-22.3335162078","-69.5007280475,-22.3335448813","-69.5007280134,-22.3335353445",180.18922082369824,0.0038106048234996205
19,"-69.500738311525,-22.333563923525","-69.5007484394,-22.3335448183","-69.5007484735,-22.3335543552","-69.5007281836,-22.3335830287","-69.5007281496,-22.3335734919",180.18922087510356,0.0038106045114688425
20,"-69.500738447725,-22.333602070875","-69.5007485756,-22.3335829657","-69.5007486097,-22.3335925025","-69.5007283198,-22.3336211761","-69.5007282858,-22.3336116392",180.18922082629314,0.003810604198693928
21,"-69.5007385839,-22.333640218275","-69.5007487118,-22.3336211131","-69.5007487458,-22.3336306499","-69.500728456,-22.3336593235","-69.500728422,-22.3336497866",180.1889428919211,0.003810601069467353
22,"-69.50073872007499,-22.333678365649998","-69.500748848,-22.3336592605","-69.500748882,-22.3336687973","-69.5007285922,-22.3336974708","-69.5007285581,-22.333687934",180.1892216779292,0.0038105989217014054
23,"-69.5006969241,-22.3332874798","-69.5007489842,-22.3336974078","-69.5007490182,-22.3337069447","-69.500644864,-22.3328775518","-69.50064483,-22.3328680149",180.18894237912724,0.09284438571039845
24,"-69.50065512802499,-22.332896593975","-69.5006652559,-22.3328774888","-69.5006652899,-22.3328870256","-69.5006450002,-22.3329156992","-69.5006449661,-22.3329061623",180.18922174512403,0.0038106043470120783
25,"-69.500655264175,-22.332934741349998","-69.500665392,-22.3329156362","-69.5006654261,-22.332925173","-69.5006451363,-22.3329538465","-69.5006451023,-22.3329443097",180.18922265158096,0.0038105993827929046
26,"-69.500655400325,-22.332972888725","-69.5006655282,-22.3329537835","-69.5006655622,-22.3329633204","-69.5006452725,-22.3329919939","-69.5006452384,-22.3329824571",180.1892216091489,0.0038106037219846536
27,"-69.5006555365,-22.333011036125","-69.5006656644,-22.3329919309","-69.5006656984,-22.3330014678","-69.5006454086,-22.3330301413","-69.5006453746,-22.3330206045",180.1889436734872,0.0038106062258672635
28,"-69.50065567265,-22.3330491835","-69.5006658005,-22.3330300783","-69.5006658346,-22.3330396152","-69.5006455448,-22.3330682887","-69.5006455107,-22.3330587518",180.18949839298747,0.0038106012614863268
29,"-69.5006558088,-22.333087330875","-69.5006659367,-22.3330682257","-69.5006659707,-22.3330777625","-69.5006456809,-22.3331064361","-69.5006456469,-22.3330968992",180.18894364086145,0.0038106056002761004
30,"-69.50065594495,-22.333125478275","-69.5006660728,-22.3331063731","-69.5006661069,-22.3331159099","-69.5006458171,-22.3331445835","-69.500645783,-22.3331350466",180.18949924757527,0.003810605288079953
31,"-69.5006560811,-22.33316362565","-69.500666209,-22.3331445205","-69.500666243,-22.3331540573","-69.5006459532,-22.3331827308","-69.5006459192,-22.333173194",180.1889445634747,0.003810600323296198
32,"-69.50065621725,-22.333201773025","-69.5006663451,-22.3331826678","-69.5006663792,-22.3331922047","-69.5006460894,-22.3332208782","-69.5006460553,-22.3332113414",180.18949921455027,0.0038106046623206514
33,"-69.5006563534,-22.333239920425","-69.5006664813,-22.3332208152","-69.5006665153,-22.3332303521","-69.5006462255,-22.3332590256","-69.5006461915,-22.3332494888",180.18894343414843,0.0038106043498881926
34,"-69.500656489575,-22.333278067774998","-69.5006666175,-22.3332589626","-69.5006666515,-22.3332684994","-69.5006463617,-22.333297173","-69.5006463276,-22.3332876361",180.18922126286913,0.00381060685376775
35,"-69.500656625725,-22.333316215175","-69.5006667536,-22.33329711","-69.5006667877,-22.3333066468","-69.5006464978,-22.3333353204","-69.5006464638,-22.3333257835",180.1892212141164,0.0038106065411606166
36,"-69.5006567619,-22.333354362549997","-69.5006668898,-22.3333352574","-69.5006669238,-22.3333447942","-69.500646634,-22.3333734677","-69.5006466,-22.3333639309",180.18894423438167,0.0038105987601389814
37,"-69.500656898025,-22.333392509925","-69.5006670259,-22.3333734047","-69.50066706,-22.3333829416","-69.5006467701,-22.3334116151","-69.5006467361,-22.3334020783",180.18922110766232,0.003810605915966609
38,"-69.5006570342,-22.333430657325","-69.5006671621,-22.3334115521","-69.5006671961,-22.333421089","-69.5006469063,-22.3334497625","-69.5006468723,-22.3334402257",180.1889431757555,0.0038106027867284174
39,"-69.500657170375,-22.333468804699997","-69.5006672983,-22.3334496995","-69.5006673323,-22.3334592364","-69.5006470425,-22.3334879099","-69.5006470084,-22.333478373",180.18921997819137,0.0038106006388090438
40,"-69.500657306525,-22.333506952075","-69.5006674344,-22.3334878469","-69.5006674685,-22.3334973837","-69.5006471786,-22.3335260573","-69.5006471446,-22.3335165204",180.18922095531065,0.003810604978155092
41,"-69.50065744267499,-22.33354509945","-69.5006675706,-22.3335259943","-69.5006676046,-22.3335355311","-69.5006473148,-22.3335642046","-69.5006472807,-22.3335546678",180.18922189417904,0.0038106000136039183
42,"-69.500657578825,-22.333583246825","-69.5006677067,-22.3335641416","-69.5006677408,-22.3335736785","-69.5006474509,-22.333602352","-69.5006474169,-22.3335928152",180.18922081350627,0.0038106043529566166
43,"-69.500657714975,-22.333621394225002","-69.5006678429,-22.333602289","-69.5006678769,-22.3336118259","-69.5006475871,-22.3336404994","-69.500647553,-22.3336309626",180.18922080001985,0.003810604040346566
44,"-69.50065785115,-22.3336595416","-69.5006679791,-22.3336404364","-69.5006680131,-22.3336499733","-69.5006477232,-22.3336786468","-69.5006476892,-22.3336691099",180.18894191050794,0.00381060189242174
45,"-69.5006579873,-22.333697688975","-69.5006681152,-22.3336785838","-69.5006681493,-22.3336881206","-69.5006478594,-22.3337167942","-69.5006478253,-22.3337072573",180.18949843473206,0.0038106062310357103
46,"-69.500574259575,-22.33287776985","-69.5005843874,-22.3328586647","-69.5005844215,-22.3328682015","-69.5005641317,-22.332896875","-69.5005640977,-22.3328873382",180.1892227289049,0.003810599848671519
47,"-69.5005743957,-22.332915917250002","-69.5005845236,-22.3328968121","-69.5005845576,-22.3329063489","-69.5005642678,-22.3329350224","-69.5005642338,-22.3329254856",180.18894486369584,0.0038106023531239595
