name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
1,"-69.51890172605,-22.35088419585","-69.518922913,-22.3508754792","-69.5189229132,-22.3508929121","-69.5188805391,-22.3508929125","-69.5188805389,-22.3508754796",180.00060792522805,0.0043577996572844845
2,"-69.51890172625,-22.3509016287","-69.5189229132,-22.3508929121","-69.5189229134,-22.3509103449","-69.5188805393,-22.3509103453","-69.5188805391,-22.3508929125",180.00060796731165,0.00435779911284487
3,"-69.51890172645,-22.35091906155","-69.5189229134,-22.3509103449","-69.5189229136,-22.3509277778","-69.5188805395,-22.3509277782","-69.5188805393,-22.3509103453",180.00060794441208,0.004357798566943392
4,"-69.51890172667501,-22.3509364944","-69.5189229136,-22.3509277778","-69.5189229139,-22.3509452106","-69.5188805397,-22.350945211","-69.5188805395,-22.3509277782",180.0007599299452,0.004357803163186736
5,"-69.51890172692501,-22.35095392725","-69.5189229139,-22.3509452106","-69.5189229141,-22.3509626435","-69.51888054,-22.3509626439","-69.5188805397,-22.350945211",180.00075992549097,0.004357802618745911
6,"-69.51890172715,-22.3509713601","-69.5189229141,-22.3509626435","-69.5189229143,-22.3509800763","-69.5188805402,-22.3509800767","-69.51888054,-22.3509626439",180.00060796700737,0.004357796932159459
7,"-69.51890172735,-22.35098879295","-69.5189229143,-22.3509800763","-69.5189229145,-22.3509975092","-69.5188805404,-22.3509975096","-69.5188805402,-22.3509800767",180.000607944108,0.004357796386256368
8,"-69.51890172755,-22.3510062258","-69.5189229145,-22.3509975092","-69.5189229147,-22.351014942","-69.5188805406,-22.3510149424","-69.5188805404,-22.3509975096",180.00060792818303,0.004357795841083603
9,"-69.51890172774999,-22.35102365865","-69.5189229147,-22.351014942","-69.5189229149,-22.3510323749","-69.5188805408,-22.3510323753","-69.5188805406,-22.3510149424",180.00060796329169,0.004357795296641164
10,"-69.518901727975,-22.3510410915","-69.5189229149,-22.3510323749","-69.5189229152,-22.3510498077","-69.518880541,-22.3510498081","-69.5188805408,-22.3510323753",180.00075991003868,0.004357799892878229
11,"-69.51890172819999,-22.351058524349998","-69.5189229152,-22.3510498077","-69.5189229154,-22.3510672406","-69.5188805412,-22.351067241","-69.518880541,-22.3510498081",180.00060796313971,0.0043578044891142455
12,"-69.5189017284,-22.3510759572","-69.5189229154,-22.3510672406","-69.5189229156,-22.3510846734","-69.5188805414,-22.3510846738","-69.5188805412,-22.351067241",180.00060794721495,0.004357803944669309
13,"-69.5189017286,-22.35109339005","-69.5189229156,-22.3510846734","-69.5189229158,-22.3511021063","-69.5188805416,-22.3511021067","-69.5188805414,-22.3510846738",180.00060796298737,0.00435780340022397
14,"-69.51890172879999,-22.3511108229","-69.5189229158,-22.3511021063","-69.518922916,-22.3511195391","-69.5188805418,-22.3511195395","-69.5188805416,-22.3511021067",180.00060790839058,0.004357802854316769
15,"-69.518901729025,-22.35112825575","-69.518922916,-22.3511195391","-69.5189229162,-22.351136972","-69.5188805421,-22.3511369724","-69.5188805418,-22.3511195395",180.00075996321232,0.004357797166271016
16,"-69.518901729275,-22.3511456886","-69.5189229162,-22.351136972","-69.5189229165,-22.3511544048","-69.5188805423,-22.3511544052","-69.5188805421,-22.3511369724",180.00075990946823,0.004357796621824467
17,"-69.5189017295,-22.35116312145","-69.5189229165,-22.3511544048","-69.5189229167,-22.3511718377","-69.5188805425,-22.3511718381","-69.5188805423,-22.3511544052",180.00060796268326,0.004357801219515662
18,"-69.51890172969999,-22.3511805543","-69.5189229167,-22.3511718377","-69.5189229169,-22.3511892705","-69.5188805427,-22.3511892709","-69.5188805425,-22.3511718381",180.0006079467585,0.004357800673606848
19,"-69.5189017299,-22.35119798715","-69.5189229169,-22.3511892705","-69.5189229171,-22.3512067034","-69.5188805429,-22.3512067038","-69.5188805427,-22.3511892709",180.00060796253126,0.0043578001276976305
20,"-69.5189014555,-22.3512200106","-69.5189226425,-22.3512112939","-69.5189226427,-22.3512287268","-69.5188802685,-22.3512287273","-69.5188802683,-22.3512112944",180.0006079624351,0.004357799440545609
21,"-69.51890145569999,-22.35123744345","-69.5189226427,-22.3512287268","-69.5189226429,-22.3512461596","-69.5188802687,-22.3512461601","-69.5188802685,-22.3512287273",180.0006079465104,0.0043577988946354815
22,"-69.518901455925,-22.3512548763","-69.5189226429,-22.3512461596","-69.5189226432,-22.3512635925","-69.5188802689,-22.351263593","-69.5188802687,-22.3512461601",180.00075994318564,0.004357803490858422
23,"-69.51890145614999,-22.351272309149998","-69.5189226432,-22.3512635925","-69.5189226434,-22.3512810253","-69.5188802691,-22.3512810258","-69.5188802689,-22.351263593",180.00060794635834,0.004357808088541771
24,"-69.518901456375,-22.351289742","-69.5189226434,-22.3512810253","-69.5189226436,-22.3512984582","-69.5188802694,-22.3512984587","-69.5188802691,-22.3512810258",180.0007599429955,0.004357802401958413
25,"-69.51890145659999,-22.35130717485","-69.5189226436,-22.3512984582","-69.5189226438,-22.351315891","-69.5188802696,-22.3513158915","-69.5188802694,-22.3512984587",180.00060792687003,0.004357796713913839
26,"-69.5189014568,-22.3513246077","-69.5189226438,-22.351315891","-69.518922644,-22.3513333239","-69.5188802698,-22.3513333244","-69.5188802696,-22.3513158915",180.0006079233068,0.0043577961687324175
27,"-69.518901457025,-22.35134204055","-69.518922644,-22.3513333239","-69.5189226443,-22.3513507567","-69.51888027,-22.3513507572","-69.5188802698,-22.3513333244",180.0007599470697,0.004357800766411579
28,"-69.51890145725,-22.3513594734","-69.5189226443,-22.3513507567","-69.5189226445,-22.3513681896","-69.5188802702,-22.3513681901","-69.51888027,-22.3513507572",180.00060794249066,0.0043578053626282445
29,"-69.51890145745,-22.35137690625","-69.5189226445,-22.3513681896","-69.5189226447,-22.3513856224","-69.5188802704,-22.3513856229","-69.5188802702,-22.3513681901",180.00060796523798,0.004357804816713604
30,"-69.51890145765,-22.3513943391","-69.5189226447,-22.3513856224","-69.5189226449,-22.3514030553","-69.5188802706,-22.3514030558","-69.5188802704,-22.3513856229",180.00060792300258,0.0043578042722600095
31,"-69.51890145787499,-22.351411771949998","-69.5189226449,-22.3514030553","-69.5189226452,-22.3514204881","-69.5188802708,-22.3514204886","-69.5188802706,-22.3514030558",180.00075994668936,0.0043578088699336975
32,"-69.5189014581,-22.351429204800002","-69.5189226452,-22.3514204881","-69.5189226454,-22.351437921","-69.518880271,-22.3514379215","-69.5188802708,-22.3514204886",180.00060794218638,0.004357813466144889
33,"-69.51890145830001,-22.35144663765","-69.5189226454,-22.351437921","-69.5189226456,-22.3514553538","-69.5188802712,-22.3514553543","-69.518880271,-22.3514379215",180.0006079649338,0.004357812920227348
34,"-69.518901458525,-22.3514640705","-69.5189226456,-22.3514553538","-69.5189226458,-22.3514727867","-69.5188802715,-22.3514727872","-69.5188802712,-22.3514553543",180.0007599033729,0.004357807233645096
