name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
1,"-69.5274624595,-22.332055070850004","-69.5274836469,-22.3320463551","-69.5274836462,-22.332063788","-69.5274412721,-22.3320637866","-69.5274412728,-22.3320463537",179.99787191629633,0.0043583882590396954
2,"-69.52746245885,-22.3320725037","-69.5274836462,-22.332063788","-69.5274836456,-22.3320812208","-69.5274412715,-22.3320812194","-69.5274412721,-22.3320637866",179.99817589039168,0.004358387715035943
3,"-69.52746245819999,-22.33208993655","-69.5274836456,-22.3320812208","-69.5274836449,-22.3320986537","-69.5274412708,-22.3320986523","-69.5274412715,-22.3320812194",179.9978719168285,0.004358387171031786
4,"-69.52746245750001,-22.33210736945","-69.5274836449,-22.3320986537","-69.5274836442,-22.3321160866","-69.5274412701,-22.3321160852","-69.5274412708,-22.3320986523",179.99787189775583,0.004358386626294835
5,"-69.52746245685,-22.332124802350002","-69.5274836442,-22.3321160866","-69.5274836436,-22.3321335195","-69.5274412695,-22.3321335181","-69.5274412701,-22.3321160852",179.9981759015398,0.004358386080826653
6,"-69.5274624562,-22.332142235200003","-69.5274836436,-22.3321335195","-69.5274836429,-22.3321509523","-69.5274412688,-22.3321509509","-69.5274412695,-22.3321335181",179.99787190541895,0.004358385535359629
7,"-69.52746245555,-22.33215966805","-69.5274836429,-22.3321509523","-69.5274836423,-22.3321683852","-69.5274412682,-22.3321683838","-69.5274412688,-22.3321509509",179.9981759019954,0.004358384991353858
8,"-69.52746245489999,-22.33217710095","-69.5274836423,-22.3321683852","-69.5274836416,-22.3321858181","-69.5274412675,-22.3321858167","-69.5274412682,-22.3321683838",179.99787191815858,0.004358384447346122
9,"-69.52746245419999,-22.33219453385","-69.5274836416,-22.3321858181","-69.5274836409,-22.332203251","-69.5274412668,-22.3322032496","-69.5274412675,-22.3321858167",179.99787191842444,0.0043583839026071535
10,"-69.52746245355,-22.332211966699997","-69.5274836409,-22.332203251","-69.5274836403,-22.3322206838","-69.5274412662,-22.3322206824","-69.5274412668,-22.3322032496",179.99817591155403,0.004358383357869345
