name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
1,"-70.3001225849,-25.1269065411","-70.3001381756,-25.1267444018","-70.3001416052,-25.1270683767","-70.3001069942,-25.1270686803","-70.3001035647,-25.1267447055",180.54916774442802,0.0034845342526798125
2,"-70.3000432185,-25.1269072374","-70.3000588093,-25.1267450981","-70.3000622387,-25.127069073","-70.3000276277,-25.12706937660001","-70.3000241984,-25.1267454018",180.54913601891076,0.0034845342321112817
3,"-70.2999638521,-25.1269079336","-70.299979443,-25.1267457944","-70.2999828722,-25.12706976919999","-70.2999482612,-25.1270700729","-70.2999448321,-25.12674609800001",180.54910429336883,0.0034845342129728243
4,"-70.2998855032,-25.1269086209","-70.2999010942,-25.1267464816","-70.2999045231,-25.1270704565","-70.2998699122,-25.1270707601","-70.2998664833,-25.1267467852",180.54906370998356,0.003484529106019839
5,"-70.2998166523,-25.127962613","-70.2998322435,-25.1278004737","-70.2998356724,-25.1281244486","-70.2998010611,-25.1281247522","-70.2997976323,-25.1278007773",180.5490510784225,0.003484534278166796
6,"-70.2997383027,-25.1279633002","-70.299753894,-25.127801161","-70.2997573227,-25.1281251358","-70.2997227115,-25.1281254394","-70.2997192828,-25.1278014645",180.54902652648673,0.003484529171996994
7,"-70.2996569006,-25.1279640141","-70.2996724919,-25.1278018749","-70.2996759204,-25.1281258498","-70.2996413092,-25.12812615329999","-70.2996378808,-25.1278021785",180.54898687774823,0.0034845241174730123
8,"-70.2995775335,-25.1279647102","-70.2995931249,-25.127802571","-70.2995965532,-25.1281265459","-70.299561942,-25.1281268494","-70.2995585137,-25.1278028745",180.54896214253546,0.0034845290772107665
9,"-70.2994983011,-25.127964682","-70.2995150196,-25.12780325590001","-70.2995161938,-25.1281258046","-70.2994815826,-25.1281261082","-70.2994804085,-25.1278035595",180.19225473116356,0.003484524152276719
10,"-70.2998061368,-25.126909317","-70.2998217279,-25.1267471778","-70.2998251566,-25.1270711527","-70.2997905457,-25.1270714563","-70.299787117,-25.1267474814",180.54903198338985,0.0034845290854484453
11,"-70.2997277879,-25.1269100042","-70.2997433791,-25.126747865","-70.2997468076,-25.1270718399","-70.2997121966,-25.1270721435","-70.2997087682,-25.1267481686",180.54899231889988,0.0034845340993205085
12,"-70.2996463864,-25.1269107181","-70.2996619777,-25.1267485789","-70.299665406,-25.1270725538","-70.2996307951,-25.1270728574","-70.2996273668,-25.1267488825",180.54896853110392,0.0034845290462033876
13,"-70.29956702,-25.1269114142","-70.2995826114,-25.1267492749","-70.2995860395,-25.1270732499","-70.2995514285,-25.1270735534","-70.2995480005,-25.1267495785",180.5489279343355,0.0034845340059678114
14,"-70.2994864317,-25.1269121209","-70.2995020232,-25.1267499816","-70.2995054511,-25.1270739566","-70.2994708401,-25.1270742601","-70.2994674123,-25.1267502851",180.54889527648936,0.0034845339319589325
