name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
1,"-70.79509296915,-33.0953614623","-70.7951126851,-33.0957588996","-70.7950894205,-33.0957592347","-70.7950732533,-33.094964025","-70.7950965177,-33.0949636899",180.9758027382282,0.002167524494323157
2,"-70.79504177015001,-33.0953621998","-70.7950614859,-33.0957596371","-70.7950382213,-33.0957599722","-70.7950220545,-33.0949647625","-70.7950453189,-33.0949644274",180.97577860713128,0.0021675244767990157
3,"-70.7949905711,-33.0953629372","-70.7950102866,-33.0957603745","-70.794987022,-33.0957607096","-70.7949708557,-33.0949654999","-70.7949941201,-33.0949651648",180.97574844465632,0.0021675244586223247
4,"-70.7949393721,-33.095363674675","-70.7949590874,-33.095761112","-70.7949358228,-33.0957614471","-70.7949196569,-33.0949662373","-70.7949429213,-33.0949659023",180.97572416293335,0.002167524344893603
5,"-70.79488817305,-33.095364412075","-70.7949078881,-33.0957618494","-70.7948846235,-33.0957621845","-70.7948684581,-33.0949669747","-70.7948917225,-33.0949666397",180.97569400083844,0.002167524326716911
6,"-70.7956182227,-33.093487947575","-70.7956379402,-33.0938853848","-70.7956146761,-33.09388572","-70.7955985053,-33.0930905103","-70.7956217692,-33.0930901752",180.97604078173043,0.0021675241985716033
7,"-70.79556702475,-33.09348868525","-70.795586742,-33.0938861225","-70.7955634779,-33.0938864577","-70.7955473076,-33.093091248","-70.7955705715,-33.0930909128",180.97601064587798,0.0021675242759681447
8,"-70.79551582684999,-33.093489422925","-70.7955355439,-33.0938868602","-70.7955122798,-33.0938871954","-70.7954961099,-33.0930919856","-70.7955193738,-33.0930916505",180.97598636397876,0.002167524163517332
9,"-70.79546462895,-33.09349016052499","-70.7954843458,-33.0938875978","-70.7954610817,-33.093887933","-70.7954449122,-33.0930927232","-70.7954681761,-33.0930923881",180.97596223239736,0.0021675241453438052
10,"-70.795413431,-33.093490898125","-70.7954331476,-33.0938883354","-70.7954098835,-33.0938886706","-70.7953937145,-33.0930934608","-70.7954169784,-33.0930931257",180.97593206926751,0.0021675241264948776
11,"-70.7953622331,-33.0934916357","-70.7953819495,-33.093889073","-70.7953586854,-33.0938894082","-70.7953425168,-33.0930941984","-70.7953657807,-33.0930938632",180.9759079638315,0.002167524203252438
