name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
1,"-68.5785788901,-24.0281500605","-68.5786002324,-24.0279530841","-68.5785989475,-24.0283471507","-68.5785575478,-24.0283470368","-68.5785588328,-24.0279529702",179.8293455137333,0.0042045421650674505
2,"-68.5784628531,-24.0281497412","-68.5784841956,-24.0279527649","-68.5784829103,-24.0283468315","-68.5784415106,-24.0283467175","-68.578442796,-24.027952651",179.82929216714905,0.0042045421915437
3,"-68.5783468161,-24.0281494219","-68.5783681587,-24.0279524456","-68.5783668731,-24.0283465121","-68.5783254734,-24.0283463982","-68.5783267592,-24.0279523316",179.82924611030037,0.004204537124668179
4,"-68.5782307791,-24.0281491025","-68.5782521219,-24.0279521262","-68.5782508359,-24.0283461927","-68.5782094362,-24.0283460788","-68.5782107223,-24.0279520122",179.82920005721266,0.0042045422124405065
5,"-68.5781147421,-24.028148783","-68.5781360851,-24.0279518067","-68.5781347988,-24.0283458732","-68.5780933991,-24.0283457592","-68.5780946855,-24.0279516927",179.82915986854925,0.0042045422396481905
6,"-68.5779987051,-24.0281484634","-68.5780200483,-24.0279514871","-68.5780187616,-24.0283455537","-68.5779773619,-24.0283454396","-68.5779786487,-24.0279513731",179.82910656569862,0.004204542268316642
7,"-68.5778826681,-24.0281481437","-68.5779040115,-24.0279511674","-68.5779027244,-24.028345234","-68.5778613247,-24.0283451199","-68.5778626119,-24.0279510534",179.82905393088595,0.004204542278054063
8,"-68.5777666311,-24.0281478239","-68.5777879747,-24.0279508477","-68.5777866873,-24.0283449142","-68.5777452876,-24.0283448001","-68.5777465751,-24.0279507336",179.82901374392435,0.004204542306006236
9,"-68.5776505942,-24.0281475041","-68.5776719378,-24.0279505279","-68.5776706501,-24.0283445944","-68.5776292504,-24.0283444803","-68.5776305383,-24.0279504137",179.82896701572434,0.004204537255208413
10,"-68.5775345572,-24.0281471841","-68.577555901,-24.0279502079","-68.5775546129,-24.0283442745","-68.5775132132,-24.0283441603","-68.5775145015,-24.0279500938",179.82891438344208,0.004204537264231756
